a,b,c,d,e,f,g,h,i
136849,57246,15102,10285,2724,3358,1047,444,0
141575,117538,22459,3509,27462,26001,7359,1806,1
16850,13966,6580,37042,19382,6015,3247,3426,0
12312,27786,14361,5252,5132,6033,2571,1976,1
107215,77208,21286,66340,11793,5540,3415,4454,1
33964,38627,18990,14325,36974,6768,2644,3626,0
108673,36409,21677,19282,8963,23033,5239,1813,0
268369,19369,33883,5148,7039,5110,1787,1513,1
22165,104663,4829,10528,2901,7435,1131,1451,1
101625,26094,32668,26941,53805,12458,4224,3845,1
661112,159298,30177,19269,29847,9036,8011,2817,0
98741,19025,26184,19717,12559,11062,2674,1620,0
134053,36213,30914,7805,10284,6519,1487,1548,1
23141,13594,13619,5325,12419,4246,2362,973,1
377377,78330,40041,94536,1713,8814,7562,6999,0
7186,58632,23721,57321,8035,15423,4722,2673,0
7743,22562,14308,29470,15774,4659,2373,2447,0
33951,35145,6171,3809,22454,6608,3033,2840,1
247190,120838,29059,7966,43534,22433,6086,1556,1
2024511,212274,57100,46449,40418,41291,8177,2624,0
528225,264782,3321,44410,8215,28148,10137,5246,1
117608,39159,28581,25167,14539,12867,2374,3916,0
1399741,22717,11479,13496,4449,3971,382,1003,1
1022090,121788,20385,33572,43183,22477,5231,6295,1
28910,26426,30491,129843,17477,8553,1425,3458,0
280356,182139,26231,9356,21025,12284,4209,1620,1
287942,53484,42016,55446,16559,15615,3483,2706,0
247396,37852,15678,67529,15711,12676,3860,2614,1
336585,183423,50646,61964,10176,16312,8457,5450,0
731375,179647,78801,27342,15222,39834,3372,3233,1
425392,409108,18170,28285,16889,16722,3433,2934,1
445671,14814,43688,26964,7113,6292,3229,1730,0
62704,30405,8122,34066,6294,7819,2607,2565,0
1018657,293123,66147,138479,21472,20266,4597,2106,0
2331381,204310,10881,91163,73347,18399,9021,7114,1
51290,44028,12402,45675,6367,9969,2843,2250,0
20438,8874,40368,28615,16861,14611,3310,3818,0
186585,97731,43899,26848,32712,20019,6579,2238,0
146739,281596,44787,15848,16242,13200,9002,4128,1
589633,194879,14832,22123,24423,21002,4356,2705,1
208536,60256,43413,14645,18101,15980,3692,2788,1
27040,35649,29316,17572,4126,3583,1833,1566,0
539136,63762,22925,39915,29203,25307,4110,2351,1
309625,41882,3991,31251,12418,12769,2883,1589,1
322950,219508,16442,14324,25731,5607,8783,1597,1
833564,87221,23411,53231,19852,3741,3689,2466,0
55258,16213,24952,10978,8988,2591,1816,974,0
420885,70837,35806,25205,24871,12064,3227,1811,1
229304,81613,53568,15364,38642,13445,4998,1823,1
16021,29838,11069,16934,2688,6155,1814,2784,0
492,6907,3160,10192,16408,3489,1648,1547,1
45492,11053,1603,37849,6218,25194,2002,2979,0
184219,23619,4541,4028,888,2337,611,321,1
2669228,148930,18616,39604,50596,27000,3607,3341,1
84914,31936,28910,2853,15676,5100,3210,1818,1
39010,18114,32244,51779,10933,3527,1684,4521,0
100005,17425,11094,15380,22849,10431,3249,2182,1
30119,27363,47179,44245,9651,7292,3443,4526,0
579877,192393,47049,117393,27005,13412,2393,3666,0
86667,113190,27854,54773,11375,6039,8257,3971,0
1286114,32452,23032,19063,43210,9779,6159,3678,0
16877,30015,9897,21615,29916,5515,4129,1554,0
189372,349678,45781,30720,10756,11762,5669,9494,0
10410,33425,13846,20596,14749,7144,2900,2456,1
175391,35895,9309,2984,12023,3806,1107,574,1
22303,7233,14786,49646,6563,5873,2990,1984,0
1081668,36739,32350,33922,30553,9366,6626,10170,0
655089,51511,4549,5877,4438,2566,1872,1002,1
197838,65508,59627,153434,15155,10729,8546,4978,0
768415,147764,107413,8627,76523,25298,10659,4340,1
55429,28748,18625,4275,16843,3750,1218,979,1
418136,22465,16750,22743,11297,4230,3080,1390,1
1936258,139765,56216,21607,37437,64645,8494,2747,1
458811,191566,11037,107537,17036,12406,5258,2708,0
1181719,96273,4119,6730,13722,11299,2949,1123,1
578219,164065,2188,7043,11866,8197,1778,1029,0
113454,40556,30821,24679,22930,5534,2046,1541,1
55326,58116,18595,15879,20565,11606,3886,3533,1
863203,114947,58423,79363,76065,25195,3359,6499,1
1036574,658637,87431,7288,45126,34949,9730,1670,1
263929,82048,61126,30202,8507,15051,11944,6790,0
189109,29583,3791,3083,1958,2029,987,682,1
186274,54165,56285,23936,26194,10414,2833,2201,0
43082,81237,31561,26197,21106,27272,11150,2372,1
11289,13125,4084,7611,14557,6837,2569,5503,1
53581,39843,37816,33032,35466,5799,4758,1708,0
22993,37492,10529,56956,7669,4801,3546,4655,0
42337,42671,3567,3623,9685,6563,835,735,0
105385,42562,30717,5399,12690,4650,2319,1642,1
377730,110706,14472,5088,14423,10974,4048,1293,1
29465,72506,34762,48339,9145,11855,10635,9798,0
348521,68635,3532,65324,22264,8282,4237,3720,1
71816,127763,13290,16630,32080,21665,4795,4868,1
429014,85138,7627,31009,12121,18059,6061,3014,0
297393,62314,3966,23220,11378,8261,6408,3588,1
737263,34285,33814,11422,17190,6468,2944,1325,0
63622,26888,10106,11066,20355,10011,1488,3069,1
48125,50722,4849,19412,7751,10503,2390,2318,0
38341,55825,67035,27440,7777,14392,2861,2333,0
13253,29689,12536,6428,6558,5195,4391,2163,1
24769,70571,22279,18786,9501,6284,3002,1607,1
125882,67534,6162,22618,7844,8712,3843,4411,1
13041,21711,6915,19192,8981,8019,1728,2540,0
70017,34084,8021,41018,18756,4411,4102,1253,0
228052,420502,25460,4193,43059,11901,3264,2356,1
290473,116360,27677,37587,19403,14993,6402,5003,0
932374,151536,12253,90664,16036,16086,3737,2978,1
918123,143852,22028,18195,43001,32370,12219,9239,1
1438582,58776,11616,24314,16667,5527,4999,1642,1
354204,38203,29119,7854,11924,19273,4075,2823,0
99652,53760,15915,15006,12850,21724,5264,3513,1
41354,27133,16575,5617,15052,5749,2198,678,0
121789,116306,48755,18546,4348,10829,4300,9900,0
28911,15999,15995,63246,7023,3335,5905,3067,0
